"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","keyword","textStemming"
"1"," aubintalbi  camilellouche  thevoice tf1 elle est super drole en tout cas mais tu restes le meilleur  je t adore mon ami  compte sur moi",FALSE,0,"aubintalbi",2015-02-23 23:56:07,FALSE,"569243264093691904","570009237482545152","329284905","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JulienPaulyy",0,FALSE,FALSE,NA,NA,"thevoice"," aubintalb  camilellouch  thevoic tf1   sup drol  tout cas   rest  meilleur    ador  ami  compt "
"2","rt  romaindsdz  la reine deneige  thevoice  retirezmoipaint http   t co gpq9qwb70p",FALSE,0,NA,2015-02-23 23:52:04,FALSE,NA,"570008218170232832",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Nicomunist",296,TRUE,FALSE,NA,NA,"thevoice","rt  romaindsdz   rein deneig  thevoic  retirezmoipaint http    co gpq9qwb70p"
"3","rt  thevoice tf1   thevoice  la douceur mariee a la puissance  c est  annesilaoff   rt si vous aimez sa version du tube de bonnie tyler htt ",FALSE,0,NA,2015-02-23 23:47:02,FALSE,NA,"570006952144711680",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sandrapauvert45",37,TRUE,FALSE,NA,NA,"thevoice","rt  thevoic tf1   thevoic   douceur marie a  puissanc     annesilaoff   rt si  aim  version  tub  bon tyl htt"
"4","rt  le parisien  vous avez aime  igitofficial dans  thevoice tf1   decouvrez son clip  courir  en exclu   http   t co fxypylv0hk http   t c ",FALSE,0,NA,2015-02-23 23:41:59,FALSE,NA,"570005683233525760",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","benouilleDANCE",54,TRUE,FALSE,NA,NA,"thevoice","rt   parisien    aim  igitofficial   thevoic tf1   decouvr  clip  cour   exclu   http    co fxypylv0hk http    "
"5","the voice 4   jenifer moquee sur twitter   http   t co rg59p7xhwi  thevoice  thevoice4  jeniferofficiel  mce tv",FALSE,1,NA,2015-02-23 23:40:08,FALSE,NA,"570005218135445504",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","mce_tv",0,FALSE,FALSE,NA,NA,"thevoice","the voic 4   jenif moque  twitt   http    co rg59p7xhwi  thevoic  thevoice4  jeniferofficiel  mce tv"
"6","rt  mediasinfos  la fin des auditions leader des audiences hier sur tf1  7 070 000 personnes et 32 3  pda et 45  menageres  lt  thevoice http  ",FALSE,0,NA,2015-02-23 23:39:09,FALSE,NA,"570004970885541888",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","malavita11",24,TRUE,FALSE,NA,NA,"thevoice","rt  mediasinfos   fin  audit lead  audienc hi  tf1  7 070 000 person  32 3  pda  45  menager  lt  thevoic http "
"7","rt  romaindsdz  la reine deneige  thevoice  retirezmoipaint http   t co gpq9qwb70p",FALSE,0,NA,2015-02-23 23:38:32,FALSE,NA,"570004813032919040",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","_Ninoon",296,TRUE,FALSE,NA,NA,"thevoice","rt  romaindsdz   rein deneig  thevoic  retirezmoipaint http    co gpq9qwb70p"
"8","rt  thevoice tf1   thevoice une equipe de 32 talents  c est possible    zazieonline essaye de negocier  mais pas sur que ca passe  gt  http    ",FALSE,0,NA,2015-02-23 23:37:50,FALSE,NA,"570004638860251138",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","malavita11",35,TRUE,FALSE,NA,NA,"thevoice","rt  thevoic tf1   thevoic  equip  32 talent    possibl    zazieonlin essay  negoci      ca pass  gt  http   "
"9","rt  azanianoah  trop contente pour notre belle  annesilaoff bienvenue a la  teampagny  team pagny  thevoice  thevoice tf1 bisous   http   t ",FALSE,0,NA,2015-02-23 23:37:46,FALSE,NA,"570004620157853698",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","malavita11",13,TRUE,FALSE,NA,NA,"thevoice","rt  azanianoah  trop content   bel  annesilaoff bienvenu a   teampagny  team pagny  thevoic  thevoic tf1 bisous   http   "
"10","rt  thevoice tf1   thevoice a 17 ans   fannymendesoff a une vraie signature vocale  elle vous interprete une chanson de amy winehouse  http ",FALSE,0,NA,2015-02-23 23:37:40,FALSE,NA,"570004597214973952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","malavita11",25,TRUE,FALSE,NA,NA,"thevoice","rt  thevoic tf1   thevoic a 17 an   fannymendesoff a  vrai signatur vocal    interpret  chanson  amy winehous  http"
"11","rt  matthieugrelier  samedi les battles  thevoice s ouvriront par 1 collegiale coachs   come together    jeniferofficiel  zazieonline   flo ",FALSE,0,NA,2015-02-23 23:37:24,FALSE,NA,"570004529263083521",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","coralie_hinatea",46,TRUE,FALSE,NA,NA,"thevoice","rt  matthieugreli  samed  battl  thevoic  ouvr  1 collegial coach   com togeth    jeniferofficiel  zazieonlin   flo"
