"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","keyword","textStemming"
"604"," nkm  le  ps desespere la france  le  fn la defigurerait  et l  ump la fait rire     gt  gt http   t co wvakvifhqj http   t co ejuvrnlm5a ",FALSE,1,NA,2015-02-05 20:12:37,FALSE,NA,"563430012582658048",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DominiqueFerlet",2,FALSE,FALSE,NA,NA,"#ps"," nkm    p desesper  franc    fn  defigur     ump  fait rir     gt  gt http    co wvakvifhqj http    co ejuvrnlm5"
"605","rt  valerieantoine   girolata20 on comprend mieux pourquoi le  ps veut autoriser les gamins de 15 ans a voter   ",FALSE,0,NA,2015-02-05 20:12:26,FALSE,NA,"563429967430955008",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","cmoua60",2,TRUE,FALSE,NA,NA,"#ps","rt  valerieantoin   girolata20  comprend mieux pourquoi   p veut autoris  gamin  15 an a vot  "
"606"," bfmtv il delire  cambadelis ca fait longtemps que  melenchon a lache  l   umps devraient avoir honte les potes a  hollande a prononcer  ps ",FALSE,0,"BFMTV",2015-02-05 20:12:25,FALSE,"561952914839965696","563429962179305472","133663801","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MarthinCircus",0,FALSE,FALSE,"0","0","#ps"," bfmtv  delir  cambadel ca fait longtemp   melenchon a lach     ump devr avoir hont  pot a  holland a prononc  p"
"607","rt  tfsalomon  suis je la seule avec  dionjack2 a etre choquee que  hollande et le  ps recuperent les evenements tragiques du  11janvier po ",FALSE,0,NA,2015-02-05 20:12:17,FALSE,NA,"563429928994357248",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bibig1964",27,TRUE,FALSE,NA,NA,"#ps","rt  tfsalomon     seul   dionjack2 a etre choque   holland    p recuperent  even tragiqu   11janvi po"
"608","rt  arthurnazaret   aubry    tenons nos promesses sur  fessenheim  c est un imperatif de credibilite et de cohesion de la gauche   contribu ",FALSE,0,NA,2015-02-05 20:12:14,FALSE,NA,"563429916839272448",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","S2RVNL",8,TRUE,FALSE,NA,NA,"#ps","rt  arthurnazaret   aubry    tenon  promess   fessenheim     imper  credibilit   cohes   gauch   contribu"
"609"," prunius  ump en tout cas  moi  ump  voter  ps ne me viendrait meme pas a l esprit   ",FALSE,0,"prunius",2015-02-05 20:12:06,FALSE,"563429625964269568","563429880491409408","534175085","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","valerieantoine",0,FALSE,FALSE,NA,NA,"#ps"," prunius  ump  tout cas    ump  vot  p   viendr mem  a  esprit  "
"610","rt  bjm781   circo2504     votez ni  ps ni  fn ni  ump ni abstention     https   t co xh6rmcgonv  vive ninie    http   t co i6ix0owbjs",FALSE,0,NA,2015-02-05 20:11:58,FALSE,NA,"563429848103022594",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FrancoiseChard",3,TRUE,FALSE,NA,NA,"#ps","rt  bjm781   circo2504     vot ni  p ni  fn ni  ump ni abstent     http    co xh6rmcgonv  viv nin    http    co i6ix0owbj"
"611","rt  antoine nantes  ouvriers  paysans  infirmieres  policiers   regardez bien la tete des petits cons  ps qui vous assomment de  taxes   ht ",FALSE,0,NA,2015-02-05 20:11:30,FALSE,NA,"563429732130504704",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","AlainDewinter",59,TRUE,FALSE,NA,NA,"#ps","rt  antoin nant  ouvri  paysan  infirmier  polici   regard bien  tet  petit con  p   assomment   tax   ht"
"612","rt  nissafredo   france2  nkm    hollande n est pas a la hauteur de ce qu attendent les francais   mais votez  ps dans le  doubs    cruche",FALSE,0,NA,2015-02-05 20:11:06,FALSE,NA,"563429630104051713",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CorinneDTR",13,TRUE,FALSE,NA,NA,"#ps","rt  nissafredo   france2  nkm    holland    a  hauteur    attendent  franc    vot  p    doub    cruch"
"613","rt  valerieantoine   girolata20 on comprend mieux pourquoi le  ps veut autoriser les gamins de 15 ans a voter   ",FALSE,0,NA,2015-02-05 20:10:43,FALSE,NA,"563429532359983104",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Girolata20",2,TRUE,FALSE,NA,NA,"#ps","rt  valerieantoin   girolata20  comprend mieux pourquoi   p veut autoris  gamin  15 an a vot  "
