"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","keyword","textStemming"
"1","rt  reicirrichier  voici les deux qui foutent la merde a l ump  la bobo  parisienne et le blaireau de bordeaux  avec ca c est pas gagne  ht ",FALSE,0,NA,2015-02-02 23:59:40,FALSE,NA,"562399989155254273",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NinaBergamote",256,TRUE,FALSE,NA,NA,"UMP","rt  reicirrichi  voic  deux  foutent  merd a  ump   bobo  parisien   blaireau  bordeau   ca    gagn  ht"
"2"," sabje2410  cemodf1  bruno lemaire la presence de  nk m plombe l  ump il faut vite ecarter la perdante presidentielle2012 paris2014",FALSE,0,"sabje2410",2015-02-02 23:59:37,FALSE,"562368530482737152","562399975855108096","1502250030","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","michelam64",0,FALSE,FALSE,NA,NA,"UMP"," sabje2410  cemodf1  bruno lemair  presenc   nk  plomb   ump  faut vit ecart  perd presidentielle2012 paris2014"
"3","le maire de bordeaux s engage   alain juppe veut  faire barrage au fn   le maire ump de bordeaux  alain juppe     http   t co sssvop9c4n",FALSE,0,NA,2015-02-02 23:59:37,FALSE,NA,"562399974277644288",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","waptryteam",0,FALSE,FALSE,NA,NA,"UMP"," mair  bordeau  engag   alain jupp veut  fair barrag  fn    mair ump  bordeau  alain jupp     http    co sssvop9c4n"
"4","rt  askolovitchc  ce qui m interesse monsieur  j bardella  c est que des militants ump sont en fait des taupes de votre fn  c est une infor ",FALSE,0,NA,2015-02-02 23:59:30,FALSE,NA,"562399944917917696",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BlackJesuus",16,TRUE,FALSE,NA,NA,"UMP","rt  askolovitchc     interess monsieur   bardel      milit ump   fait  taup   fn     infor"
"5","rt  gallet81127917  alain juppe soutenait demouge ump anti enfants blonds ds le doubs http   t co irl1duxd1l",FALSE,0,NA,2015-02-02 23:59:15,FALSE,NA,"562399883865653250",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FrankM_80",17,TRUE,FALSE,NA,NA,"UMP","rt  gallet81127917  alain jupp souten demoug ump anti enfant blond d  doub http    co irl1duxd1l"
"6"," daniel jerome44 ca existe  chacun pour soi et l ump pour tous  comme consigne ",FALSE,0,"Daniel_Jerome44",2015-02-02 23:59:13,FALSE,"562399039946489857","562399875338633216","2898745401","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","cherenceleheron",0,FALSE,FALSE,NA,NA,"UMP"," daniel jerome44 ca exist  chacun     ump  tous  comm consign"
"7","rt  guillaume6869   doubs perso j en arrive a la conclusion que  sarkozy reussi son coup   mettre en evidence les incoherences de certains  ",FALSE,0,NA,2015-02-02 23:59:10,FALSE,NA,"562399861606461441",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","P_Bourgois",36,TRUE,FALSE,NA,NA,"UMP","rt  guillaume6869   doub perso   arriv a  conclus   sarkozy reuss  coup   mettr  evident  incoherent  certain "
"8","rt  chanamla  alain  juppe est il au dessus des regles de l  ump     alainjuppe  dimanche prochain  dans le doubs   http   t co apkiltumoo  ",FALSE,0,NA,2015-02-02 23:59:01,FALSE,NA,"562399825497714689",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cemodf1",1,TRUE,FALSE,NA,NA,"UMP","rt  chanaml  alain  jupp    dessus  regl    ump     alainjupp  dimanch prochain    doub   http    co apkiltumoo "
"9","rt  gnselliere  une dette de 1 635 milliard d euros    voila ce que le  ps laisse derriere lui dans le nord   en mars je vote  ump udi   au ",FALSE,0,NA,2015-02-02 23:58:55,FALSE,NA,"562399799845330944",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","avenel691",31,TRUE,FALSE,NA,NA,"UMP","rt  gnsellier   det  1 635 milliard  euros    voil     p laiss derrier    nord    mar  vot  ump udi   "
"10","rt  rpikendorf   juppe investit le roi des nuls comme candidat puis appelle a voter ps contre la ligne officielle  ump   http   t co nmkyp5 ",FALSE,0,NA,2015-02-02 23:58:53,FALSE,NA,"562399789393117184",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cemodf1",1,TRUE,FALSE,NA,NA,"UMP","rt  rpikendorf   jupp invest  roi  nul comm candidat puis appel a vot p contr  lign officiel  ump   http    co nmkyp5"
